category,severity,strategy,confidence,line_number,code_length,diff_length,hour_of_day,day_of_week,validation_passed,has_errors,has_warnings,label
dead_code,low,ast,0.9,10,15,23,19,6,0,1,1,0
hardcoded_values,medium,template,0.76,11,15,23,19,6,0,1,0,0
missing_docstrings,high,manual,0.72,12,15,23,19,6,1,0,0,1
type_errors,low,ast,0.73,13,15,23,19,6,0,1,0,0
dead_code,medium,template,0.74,14,15,23,19,6,0,1,0,0
hardcoded_values,high,manual,0.75,15,15,23,19,6,0,1,1,0
missing_docstrings,low,ast,0.76,16,15,23,19,6,0,1,0,0
type_errors,medium,template,0.77,17,15,23,19,6,0,1,0,0
dead_code,high,manual,0.7799999999999999,18,15,23,19,6,0,1,0,0
hardcoded_values,low,ast,0.7899999999999999,19,15,23,19,6,0,1,0,0
missing_docstrings,medium,template,0.7999999999999999,20,16,25,19,6,0,1,1,0
type_errors,high,manual,0.71,21,16,25,19,6,0,1,0,0
dead_code,low,ast,0.92,22,16,25,19,6,1,0,0,1
hardcoded_values,medium,template,0.88,23,16,25,19,6,0,1,0,0
missing_docstrings,high,manual,0.84,24,16,25,19,6,1,0,0,1
type_errors,low,ast,0.85,25,16,25,19,6,1,0,1,1
dead_code,medium,template,0.86,26,16,25,19,6,1,0,0,1
hardcoded_values,high,manual,0.87,27,16,25,19,6,1,0,0,1
missing_docstrings,low,ast,0.8799999999999999,28,16,25,19,6,1,0,0,1
type_errors,medium,template,0.8899999999999999,29,16,25,19,6,1,0,0,1
dead_code,high,manual,0.8999999999999999,30,16,25,19,6,1,0,1,1
hardcoded_values,low,ast,0.9099999999999999,31,16,25,19,6,1,0,0,1
missing_docstrings,medium,template,0.9199999999999999,32,16,25,19,6,1,0,0,1
type_errors,high,manual,0.63,33,16,25,19,6,0,1,0,0
dead_code,low,ast,0.9400000000000001,34,16,25,19,6,1,0,0,1
hardcoded_values,medium,template,0.85,35,16,25,19,6,1,0,1,1
missing_docstrings,high,manual,0.96,36,16,25,19,6,0,1,0,0
type_errors,low,ast,0.97,37,16,25,19,6,1,0,0,1
dead_code,medium,template,0.98,38,16,25,19,6,1,0,0,1
hardcoded_values,high,manual,0.99,39,16,25,19,6,0,1,0,0
missing_docstrings,low,ast,0.7,40,16,25,19,6,0,1,1,0
type_errors,medium,template,0.71,41,16,25,19,6,0,1,0,0
dead_code,high,manual,0.72,42,16,25,19,6,0,1,0,0
hardcoded_values,low,ast,0.73,43,16,25,19,6,0,1,0,0
missing_docstrings,medium,template,0.74,44,16,25,19,6,0,1,0,0
type_errors,high,manual,0.75,45,16,25,19,6,0,1,1,0
dead_code,low,ast,0.96,46,16,25,19,6,1,0,0,1
hardcoded_values,medium,template,0.8200000000000001,47,16,25,19,6,1,0,0,1
missing_docstrings,high,manual,0.7799999999999999,48,16,25,19,6,0,1,0,0
type_errors,low,ast,0.7899999999999999,49,16,25,19,6,0,1,0,0
dead_code,medium,template,0.7999999999999999,50,16,25,19,6,0,1,1,0
hardcoded_values,high,manual,0.8099999999999999,51,16,25,19,6,1,0,0,1
missing_docstrings,low,ast,0.82,52,16,25,19,6,1,0,0,1
type_errors,medium,template,0.83,53,16,25,19,6,0,1,0,0
dead_code,high,manual,0.84,54,16,25,19,6,1,0,0,1
hardcoded_values,low,ast,0.85,55,16,25,19,6,1,0,1,1
missing_docstrings,medium,template,0.86,56,16,25,19,6,1,0,0,1
type_errors,high,manual,0.6699999999999999,57,16,25,19,6,0,1,0,0
dead_code,low,ast,0.98,58,16,25,19,6,1,0,0,1
hardcoded_values,medium,template,0.79,59,16,25,19,6,0,1,0,0
missing_docstrings,high,manual,0.8999999999999999,60,16,25,19,6,0,1,1,0
type_errors,low,ast,0.9099999999999999,61,16,25,20,6,1,0,0,1
dead_code,medium,template,0.9199999999999999,62,16,25,20,6,1,0,0,1
hardcoded_values,high,manual,0.9299999999999999,63,16,25,20,6,1,0,0,1
missing_docstrings,low,ast,0.94,64,16,25,20,6,1,0,0,1
type_errors,medium,template,0.95,65,16,25,20,6,1,0,1,1
dead_code,high,manual,0.96,66,16,25,20,6,1,0,0,1
hardcoded_values,low,ast,0.97,67,16,25,20,6,1,0,0,1
missing_docstrings,medium,template,0.98,68,16,25,20,6,0,1,0,0
type_errors,high,manual,0.79,69,16,25,20,6,1,0,0,1
dead_code,low,ast,0.9,70,16,25,20,6,1,0,1,1
hardcoded_values,medium,template,0.76,71,16,25,20,6,0,1,0,0
missing_docstrings,high,manual,0.72,72,16,25,20,6,1,0,0,1
type_errors,low,ast,0.73,73,16,25,20,6,0,1,0,0
dead_code,medium,template,0.74,74,16,25,20,6,0,1,0,0
hardcoded_values,high,manual,0.75,75,16,25,20,6,1,0,1,1
missing_docstrings,low,ast,0.76,76,16,25,20,6,0,1,0,0
type_errors,medium,template,0.77,77,16,25,20,6,0,1,0,0
dead_code,high,manual,0.7799999999999999,78,16,25,20,6,0,1,0,0
hardcoded_values,low,ast,0.7899999999999999,79,16,25,20,6,0,1,0,0
missing_docstrings,medium,template,0.7999999999999999,80,16,25,20,6,0,1,1,0
type_errors,high,manual,0.71,81,16,25,20,6,0,1,0,0
dead_code,low,ast,0.92,82,16,25,20,6,1,0,0,1
hardcoded_values,medium,template,0.88,83,16,25,20,6,1,0,0,1
missing_docstrings,high,manual,0.84,84,16,25,20,6,1,0,0,1
type_errors,low,ast,0.85,85,16,25,20,6,1,0,1,1
dead_code,medium,template,0.86,86,16,25,20,6,0,1,0,0
hardcoded_values,high,manual,0.87,87,16,25,20,6,1,0,0,1
missing_docstrings,low,ast,0.8799999999999999,88,16,25,20,6,0,1,0,0
type_errors,medium,template,0.8899999999999999,89,16,25,20,6,1,0,0,1
dead_code,high,manual,0.8999999999999999,90,16,25,20,6,1,0,1,1
hardcoded_values,low,ast,0.9099999999999999,91,16,25,20,6,1,0,0,1
missing_docstrings,medium,template,0.9199999999999999,92,16,25,20,6,1,0,0,1
type_errors,high,manual,0.63,93,16,25,20,6,1,0,0,1
dead_code,low,ast,0.9400000000000001,94,16,25,20,6,1,0,0,1
hardcoded_values,medium,template,0.85,95,16,25,20,6,1,0,1,1
missing_docstrings,high,manual,0.96,96,16,25,20,6,1,0,0,1
type_errors,low,ast,0.97,97,16,25,20,6,1,0,0,1
dead_code,medium,template,0.98,98,16,25,20,6,1,0,0,1
hardcoded_values,high,manual,0.99,99,16,25,20,6,1,0,0,1
missing_docstrings,low,ast,0.7,100,16,25,20,6,0,1,1,0
type_errors,medium,template,0.71,101,16,25,20,6,0,1,0,0
dead_code,high,manual,0.72,102,16,25,20,6,0,1,0,0
hardcoded_values,low,ast,0.73,103,16,25,20,6,0,1,0,0
missing_docstrings,medium,template,0.74,104,16,25,20,6,0,1,0,0
type_errors,high,manual,0.75,105,16,25,20,6,0,1,1,0
dead_code,low,ast,0.96,106,16,25,20,6,1,0,0,1
hardcoded_values,medium,template,0.8200000000000001,107,16,25,20,6,1,0,0,1
missing_docstrings,high,manual,0.7799999999999999,108,16,25,20,6,0,1,0,0
type_errors,low,ast,0.7899999999999999,109,16,25,20,6,0,1,0,0
