Date,Task ID,Task Name,Material Cost,Labor Cost,Overhead Cost,Total Cost,Notes
2025-11-18,KB-001,Bake bread loaves,2.50,62.50,5.00,70.00,Used premium flour and organic yeast
2025-11-18,KB-002,Package orders,0.50,18.75,2.00,21.25,Standard packaging materials
2025-11-19,KB-003,Research new recipe,8.00,112.50,10.00,130.50,Multiple test batches with premium ingredients
2025-11-19,KB-004,Prepare biochar batch,15.00,87.50,8.00,110.50,Raw materials and pyrolysis costs
2025-11-19,KB-005,Customer consultation,0.00,50.00,3.00,53.00,Time-only cost
2025-11-20,KB-006,Inventory count,0.00,12.50,1.00,13.50,Operational task
2025-11-20,KB-007,Bake cookies batch,3.50,43.75,4.00,51.25,Butter and chocolate chips premium quality
2025-11-20,KB-008,Update website,0.00,75.00,5.00,80.00,Design and hosting time
2025-11-21,KB-009,Fulfill wholesale order,12.00,62.50,6.00,80.50,Bulk materials discount applied
2025-11-21,KB-010,Supplier research,0.00,56.25,4.00,60.25,Research and negotiation time
2025-11-21,KB-011,Compost kit assembly,6.50,62.50,5.50,74.50,Kit components and packaging
2025-11-21,KB-012,Social media posts,0.00,18.75,2.00,20.75,Content creation time
