Date,Product,Quantity Produced,Quantity Sold,Quantity Wasted,Waste Reason,Notes
2025-11-18,Bread Loaf,10,8,2,Overproduction,Made too many - no pending orders
2025-11-18,Cookies,24,24,0,,Sold out by noon
2025-11-19,Bread Loaf,12,10,0,,Good forecast based on orders
2025-11-19,Biochar Kit,5,5,0,,Fulfilled wholesale order (ORD-004)
2025-11-20,Custom Cake,1,1,0,,Birthday order (ORD-003) - on time
2025-11-20,Cookies,36,30,6,Overproduction,Made extra but demand was lower
2025-11-20,Compost Kit,4,2,0,,2 remaining in inventory
2025-11-21,Bread Loaf,15,12,1,Quality issue,1 loaf burnt - discarded
2025-11-21,Cookies,48,48,0,,School bake sale (ORD-010) + walk-ins
2025-11-21,Biochar Kit,10,7,0,,3 remaining in inventory
2025-11-21,Compost Kit,3,2,0,,1 remaining in inventory
2025-11-22,Bread Loaf,8,7,0,,Weekend lower demand
